Attribute,Type,Use,Links,Description
featureType,S,G,"Section 9.4, ""The featureType attribute""","Specifies the type of discrete sampling geometry to which the data in the scope of this attribute belongs, and implies that all data variables in the scope of this attribute contain collections of features of that type."
flag_masks,D,D,"Section 3.5, ""Flags""",Provides a list of bit fields expressing Boolean or enumerated flags.
flag_meanings,S,D,"Section 3.5, ""Flags""","Use in conjunction with flag_values to provide descriptive words or phrases for each flag value. If multi-word phrases are used to describe the flag values, then the words within a phrase should be connected with underscores."
flag_values,D,D,"Section 3.5, ""Flags""",Provides a list of the flag values. Use in conjunction with flag_meanings.
formula_terms,S,C,"Section 4.3.3, ""Parametric Vertical Coordinate""",Identifies variables that correspond to the terms in a formula.
geometry,S,"C, D, Do","Section 7.5, ""Geometries""",Identifies a variable that defines geometry.
geometry_type,S,M,"Section 7.5, ""Geometries""",Indicates the type of geometry present.
grid_mapping,S,"D, M, Do","Section 5.6, ""Horizontal Coordinate Reference Systems, Grid Mappings, and Projections""",Identifies a variable that defines a grid mapping.
history,S,"G, Gr","NUG Appendix A, ""Attribute Conventions""",List of the applications that have modified the original data.
instance_dimension,S,-,"Section 9.3, ""Representations of collections of features in data variables""",An attribute which identifies an index variable and names the instance dimension to which it applies. The index variable indicates that the indexed ragged array representation is being used for a collection of features.
institution,S,"G, D","Section 2.6.2, ""Description of file contents""",Where the original data was produced.
interior_ring,S,M,"Section 7.5, ""Geometries""","Identifies a variable that indicates if polygon parts are interior rings (i.e., holes) or not."
leap_month,N,C,"Section 4.4.1, ""Calendar""",Specifies which month is lengthened by a day in leap years for a user defined calendar.
leap_year,N,C,"Section 4.4.1, ""Calendar""",Provides an example of a leap year for a user defined calendar. It is assumed that all years that differ from this year by a multiple of four are also leap years.
long_name,S,"C, D, Do","NUG Appendix A, ""Attribute Conventions"", and Section 3.2, ""Long Name""","A descriptive name that indicates a variable""s content. This name is not standardized."
missing_value,D,"C, D","Section 2.5.1, ""Missing data, valid and actual range of data"", and Section 9.6, ""Missing Data""",A value or values used to represent missing or undefined data. Allowed for auxiliary coordinate variables but not allowed for coordinate variables.
month_lengths,N,C,"Section 4.4.1, ""Calendar""",Specifies the length of each month in a non-leap year for a user defined calendar.
node_coordinates,S,M,"Section 7.5, ""Geometries""",Identifies variables that contain geometry node coordinates.
node_count,S,M,"Section 7.5, ""Geometries""",Identifies a variable indicating the count of nodes per geometry.
nodes,S,C,"Section 7.5, ""Geometries""",Identifies a coordinate node variable.
part_node_count,S,M,"Section 7.5, ""Geometries""",Identifies a variable providing the count of nodes per geometry part.
positive,S,C,[COARDS],Direction of increasing vertical coordinate value.
references,S,"G, D","Section 2.6.2, ""Description of file contents""",References that describe the data or methods used to produce it.
sample_dimension,S,-,"Section 9.3, ""Representations of collections of features in data variables""",An attribute which identifies a count variable and names the sample dimension to which it applies. The count variable indicates that the contiguous ragged array representation is being used for a collection of features.
scale_factor,N,"C, D","NUG Appendix A, ""Attribute Conventions"", and Section 8.1, ""Packed Data""","If present for a variable, the data are to be multiplied by this factor after the data are read by an application. See also the add_offset attribute. In cases where there is a strong constraint on dataset size, it is allowed to pack the coordinate variables (using add_offset and/or scale_factor), but this is not recommended in general."
source,S,"G, D","Section 2.6.2, ""Description of file contents""",Method of production of the original data.
standard_error_multiplier,N,D,"Appendix C, Standard Name Modifiers","If a data variable with a standard_name modifier of standard_error has this attribute, it indicates that the values are the stated multiple of one standard error."
standard_name,S,"C, D","Section 3.3, ""Standard Name""","A standard name that references a description of a variable""s content in the standard name table."
title,S,"G, Gr","NUG Appendix A, ""Attribute Conventions""",Short description of the file contents.
units,S,"C, D","NUG Appendix A, ""Attribute Conventions"", and Section 3.1, ""Units""","Units of a variable""s content."
valid_max,N,"C, D","NUG Appendix A, ""Attribute Conventions""",Largest valid value of a variable.
valid_min,N,"C, D","NUG Appendix A, ""Attribute Conventions""",Smallest valid value of a variable.
valid_range,N,"C, D","NUG Appendix A, ""Attribute Conventions""",Smallest and largest valid values of a variable.
